pfp;block;year;quart;screen;tile;category;fact;plan;fact_prev;mera;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;isParent;addClass
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Персонал ;9.8;10.2;-0.3;млрд. руб;;;;;;;;;;child;staff_click
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Бизнес-расходы;0.1;0.2;-0.1;млрд. руб;;;;;;;;;;child;
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;ИТ;0.1;0.1;0.0;млрд. руб;;;;;;;;;;child;
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Налоги;0.1;0.2;-0.1;млрд. руб;;;;;;;;;;child;
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Недвижимость;0.9;0.5;+0.4;млрд. руб;;;;;;;;;;child;prop_click
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Прочее;0.1;0.4;-0.3;млрд. руб;;;;;;;;;;child;
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Аллокация;н/д;н/д;н/д;млрд. руб;;;;;;;;;;parent;allokaciya_click
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;ДЗО;1.1;1.3;-0.2;млрд. руб;;;;;;;;;;parent;
Прогноз;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Прямые расходы;544.6;560.3;-15.6;млрд. руб;;;;;;;;;;child;
Прогноз;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Персонал ;324.1;326.0;-1.8;млрд. руб;;;;;;;;;;child;staff_click
Прогноз;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Недвижимость;52.6;43.6;+9;млрд. руб;;;;;;;;;;child;prop_click
Прогноз;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;ИТ;64.0;37.0;+27;млрд. руб;;;;;;;;;;child;
Прогноз;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Бизнес-расходы;32.3;28.1;+4.2;млрд. руб;;;;;;;;;;child;
Прогноз;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Налоги;27.0;28.0;-1;млрд. руб;;;;;;;;;;child;
Прогноз;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Благотворительность;5.8;5.8;0.0;млрд. руб;;;;;;;;;;child;
Прогноз;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Транспорт;5.6;3.5;+2.1;млрд. руб;;;;;;;;;;child;
Прогноз;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Маркетинг;5.6;5.8;-0.2;млрд. руб;;;;;;;;;;child;
Прогноз;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Прочее;27.7;82.4;-54.7;млрд. руб;;;;;;;;;;child;
