pfp;block;year;quart;modal;category;plan;fact;radius;title;text;lat;long;;;;
Факт;все;12018;12018;Карта OPEX по ТБ;;;;2,82;Юго-Западный банк;Юго-Западный банк: 9.4 млрд.руб; 44.223498 ; 41.138609 ;;9.4;;3
Факт;КБ;42017;42017;Карта OPEX по ТБ;;;;0;Подразделения ЦА;Центральный Аппарат; 55.629177 ; 37.633741 ;;0;;0
Факт;КБ;42017;42017;Карта OPEX по ТБ;;;;0;Байкальский банк;Байкальский банк; 70.111249 ; 138.336540 ;;0;;0
Факт;КБ;42017;42017;Карта OPEX по ТБ;;;;0;Волго-Вятский банк;Волго-Вятский банк; 55.670318 ; 47.881094 ;;0;;0
Факт;КБ;42017;42017;Карта OPEX по ТБ;;;;0;Дальневосточный банк;Дальневосточный банк; 55.3425 ; 138.8416 ;;0;;0
Факт;КБ;42017;42017;Карта OPEX по ТБ;;;;0;Западно-Сибирский банк;Западно-Сибирский банк; 63.555525 ; 71.550048 ;;0;;0
Факт;КБ;42017;42017;Карта OPEX по ТБ;;;;0;Западно-Уральский банк;Западно-Уральский банк; 61.540537 ; 52.971007 ;;0;;0
Факт;КБ;42017;42017;Карта OPEX по ТБ;;;;0;Московский банк;Московский банк; 55.829703 ; 37.662334 ;;0;;0
Факт;КБ;42017;42017;Карта OPEX по ТБ;;;;0;Поволжский банк;Поволжский банк; 50.822803 ; 44.838229 ;;0;;0
Факт;КБ;42017;42017;Карта OPEX по ТБ;;;;0;Северный банк;Северный банк; 67.690249 ; 48.818185 ;;0;;0
Факт;КБ;42017;42017;Карта OPEX по ТБ;;;;0;Северо-Западный банк;Северо-Западный банк; 67.381542 ; 33.467618 ;;0;;0
Факт;КБ;42017;42017;Карта OPEX по ТБ;;;;0;Сибирский банк;Сибирский банк; 64.869264 ; 93.719162 ;;0;;0
Факт;КБ;42017;42017;Карта OPEX по ТБ;;;;0;Среднерусский банк;Среднерусский банк; 54.817428 ; 33.854468 ;;0;;0
Факт;КБ;42017;42017;Карта OPEX по ТБ;;;;0;Уральский банк;Уральский банк; 56.607673 ; 59.689390 ;;0;;0
Факт;КБ;42017;42017;Карта OPEX по ТБ;;;;0;Центрально-Черноземный банк;Центрально-Черноземный банк; 52.636269 ; 39.100789 ;;0;;0
Факт;КБ;42017;42017;Карта OPEX по ТБ;;;;0;Юго-Западный банк;Юго-Западный банк; 44.223498 ; 41.138609 ;;0;;0
Факт;КБ;12018;12018;Карта OPEX по ТБ;;;;0;Подразделения ЦА;Центральный Аппарат; 55.629177 ; 37.633741 ;;0;;0
Факт;КБ;12018;12018;Карта OPEX по ТБ;;;;0;Байкальский банк;Центральный Аппарат;70.111249;138.336540;;0;;0
Факт;КБ;12018;12018;Карта OPEX по ТБ;;;;0;Волго-Вятский банк;Центральный Аппарат;55.670318;47.881094;;0;;0
Факт;КБ;12018;12018;Карта OPEX по ТБ;;;;0;Дальневосточный банк;Центральный Аппарат;55.3425;138.8416;;0;;0
Факт;КБ;12018;12018;Карта OPEX по ТБ;;;;0;Западно-Сибирский банк;Центральный Аппарат;63.555525;71.550048;;0;;0
Факт;КБ;12018;12018;Карта OPEX по ТБ;;;;0;Западно-Уральский банк;Центральный Аппарат;61.540537;52.971007;;0;;0
Факт;КБ;12018;12018;Карта OPEX по ТБ;;;;0;Московский банк;Центральный Аппарат;55.829703;37.662334;;0;;0
Факт;КБ;12018;12018;Карта OPEX по ТБ;;;;0;Поволжский банк;Центральный Аппарат;50.822803;44.838229;;0;;0
Факт;КБ;12018;12018;Карта OPEX по ТБ;;;;0;Северный банк;Центральный Аппарат;67.690249;48.818185;;0;;0
Факт;КБ;12018;12018;Карта OPEX по ТБ;;;;0;Северо-Западный банк;Центральный Аппарат;67.381542;33.467618;;0;;0
Факт;КБ;12018;12018;Карта OPEX по ТБ;;;;0;Сибирский банк;Центральный Аппарат;64.869264;93.719162;;0;;0
Факт;КБ;12018;12018;Карта OPEX по ТБ;;;;0;Среднерусский банк;Центральный Аппарат;54.817428;33.854468;;0;;0
Факт;КБ;12018;12018;Карта OPEX по ТБ;;;;0;Уральский банк;Центральный Аппарат;56.607673;59.689390;;0;;0
Факт;КБ;12018;12018;Карта OPEX по ТБ;;;;0;Центрально-Черноземный банк;Центральный Аппарат;52.636269;39.100789;;0;;0
