pfp;block;year;quart;tile;category;fact;plan;mera;arrow1;color1;proc1;text1;arrow2;color2;proc2;text2
План;все;12018;12018;ФОКУС;Выполнение КПЭ по ограничению оплаты труда;2;;блока;;;;;;;;
План;все;42017;42017;ФОКУС;Сокращение расходов на недвижимость;н/д;;;;;;;;;;
План;все;42017;42017;ФОКУС;Экономия от PUSH-уведомлений;н/д;;;;;;;;;;
План;все;42017;42017;ФОКУС;Рост заездов ЦУНДО и сохранение парка УС;н/д;;;;;;;;;;
План;все;42017;42017;ФОКУС;Рост расходы на персонал;н/д;;;;;;;;;;
План;все;42017;42017;ФОКУС;Выполнение КПЭ по ограничению оплаты труда;н/д;;;;;;;;;;
План;КБ;42017;42017;CIR;;н/д;;;;;-;нет данных за период;;;-;
План;КБ;12018;12018;CIR;;25.9;;%;;;-;нет данных за период;;;-;
План;КБ;42017;42017;OPEX;;39.1;;млрд. руб.;;;-;нет данных за период;;;-;
План;КБ;12018;12018;OPEX;;11.6;;млрд. руб.;up;red;17%;к номин.;;;-;нет данных за период
План;КБ;42017;42017;CAPEX;;н/д;;;;;-;нет данных за период;;;-;
План;КБ;12018;12018;CAPEX;;н/д;;;;;-;нет данных за период;;;-;
План;КБ;42017;42017;Численность;;20.9;;тыс. чел.;;;-;нет данных за период;;;-;
План;КБ;12018;12018;Численность;;21.2;;тыс. чел.;down;green;1.4%;к 2017г.;;;-;
План;КБ;42017;42017;Категории расходов;Персонал;32.5;+12%;;;;;;;;;
План;КБ;42017;42017;Категории расходов;Недвижимость;2.3;+42%;;;;;;;;;
План;КБ;42017;42017;Категории расходов;ИТ;0.5;+35%;;;;;;;;;
План;КБ;42017;42017;Категории расходов;Бизнес;0.9;-12%;;;;;;;;;
План;КБ;42017;42017;Категории расходов;Налоги;0.7;+42%;;;;;;;;;
План;КБ;42017;42017;Категории расходов;Прочее;2.2;-32%;;;;;;;;;
План;КБ;12018;12018;Категории расходов;Персонал;10.2;-4%;;;;;;;;;
План;КБ;12018;12018;Категории расходов;Недвижимость;0.5;+75%;;;;;;;;;
План;КБ;12018;12018;Категории расходов;ИТ;0.1;+6%;;;;;;;;;
План;КБ;12018;12018;Категории расходов;Бизнес;0.2;-47%;;;;;;;;;
План;КБ;12018;12018;Категории расходов;Налоги;0.2;-68%;;;;;;;;;
План;КБ;12018;12018;Категории расходов;Прочее;0.4;-70%;;;;;;;;;
План;КБ;12018;12018;ФОКУС;Сокращение расходов на недвижимость;-3;;;;;;;;;;%
План;КБ;12018;12018;ФОКУС;Экономия от PUSH-уведомлений;600;;млн. руб.;;;;;;;;
План;КБ;12018;12018;ФОКУС;Рост заездов ЦУНДО и сохранение парка УС;+17;;;;;;;;;;%
План;КБ;12018;12018;ФОКУС;Рост расходы на персонал;+5;;;;;;;;;;%
План;КБ;12018;12018;ФОКУС;Выполнение КПЭ по ограничению оплаты труда;2;;блока;;;;;;;;
План;КБ;42017;42017;ФОКУС;Сокращение расходов на недвижимость;н/д;;;;;;;;;;
План;КБ;42017;42017;ФОКУС;Экономия от PUSH-уведомлений;н/д;;;;;;;;;;
План;КБ;42017;42017;ФОКУС;Рост заездов ЦУНДО и сохранение парка УС;н/д;;;;;;;;;;
План;КБ;42017;42017;ФОКУС;Рост расходы на персонал;н/д;;;;;;;;;;
План;КБ;42017;42017;ФОКУС;Выполнение КПЭ по ограничению оплаты труда;н/д;;;;;;;;;;
Прогноз;все;42017;42017;CIR;;н/д;;%;;;-;нет данных за период;;;-;
Прогноз;все;12018;12018;CIR;;31.5;;%;;;-;нет данных за период;;;-;
Прогноз;все;42017;42017;OPEX;;н/д;;;;;-;нет данных за период;;;-;
Прогноз;все;12018;12018;OPEX;;153.1;;млрд. руб.;;;-;нет данных за период;;;-;
Прогноз;все;42017;42017;CAPEX;;н/д;;;;;-;нет данных за период;;;-;
Прогноз;все;12018;12018;CAPEX;;38.1;;млрд. руб.;;;-;нет данных за период;;;-;
