pfp;block;year;quart;screen;tile;category;fact;plan;fact_prev;mera;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;isParent;addClass
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Бизнес-расходы;0.1;0.2;-50.0%;млрд. руб;;;;;;;;;;child;
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Налоги;0.1;0.2;-50.0%;млрд. руб;;;;;;;;;;child;
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Прочее;0.1;0.4;-75.0%;млрд. руб;;;;;;;;;;child;
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Аллокация;-;-;-;млрд. руб;;;;;;;;;;parent;allokaciya_click
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;ДЗО;1.1;1.3;-15.3%;млрд. руб;;;;;;;;;;parent;
План;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Прямые расходы;46.7;45.7;+2.1%;млрд. руб;;;;;;;;;;parent;
План;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Персонал ;37.4;38.3;-2.3%;млрд. руб;;;;;;;;;;child;staff_click
План;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Недвижимость;1.2;0.2;+500.0%;млрд. руб;;;;;;;;;;child;
План;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;ИТ;0.3;0.6;-50.0%;млрд. руб;;;;;;;;;;child;
План;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Бизнес-расходы;0.4;0.5;-20.0%;млрд. руб;;;;;;;;;;child;
План;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Налоги;0.9;0.6;+50.0%;млрд. руб;;;;;;;;;;child;
План;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Прочее;6.5;5.4;+20.3%;млрд. руб;;;;;;;;;;child;
План;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Аллокация;-;-;-;млрд. руб;;;;;;;;;;parent;allokaciya_click
План;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;ДЗО;4.3;5.5;-21.8%;млрд. руб;;;;;;;;;;parent;
