pfp;block;year;quart;tile;category;data1;data2;data3;mera;arrow1;color1;proc1;text1;arrow2;color2;proc2;text2;isParent;addClass
План;все;42018;42018;Динамика расходов на персонал;2020;н/д;н/д;;;;;;;;;;;parent;
Факт;все;42018;42018;Показатели;Соблюдение<br>лимита на оплату<br>труда по Блокам;;;;;;;;;;;;;parent;
Факт;все;42018;42018;Показатели;Среднемес. норм. доход<br>на 1 сотрудника;76.2;;;тыс. руб;;;;;;;;;parent;
Факт;все;42018;42018;Показатели;Средний разряд<br>Москва;9.1;;;;;;;;;;;;parent;
Факт;все;42018;42018;Показатели;Средний разряд<br>Регионы;6.4;;;;;;;;;;;;parent;
Факт;все;42018;42018;Показатели;Фактическая численность;243;;;тыс. чел;;;;;;;;;parent;
Факт;все;42018;42018;График соблюдение лимита;;2;16;;;;;;;;;;;parent;
Факт;все;42018;42018;КР на персонал;Персонал;328.8;324.1;+1.5%;;;;;;;;;;parent;
Факт;все;42018;42018;КР на персонал;Расходы на персонал;313.7;312.2;+0.5%;;;;;;;;;;parent;
Факт;все;42018;42018;КР на персонал;Зарплата и премия;178.7;171.8;+4.0%;;;;;;;;;;parent;
Факт;все;42018;42018;КР на персонал;Налоги на зарплату;62.1;62.6;-0.8%;;;;;;;;;;parent;
Факт;все;42018;42018;КР на персонал;Резервы на вознаграждения за год;43.9;49.5;-11.2%;;;;;;;;;;parent;
Факт;все;42018;42018;КР на персонал;Резервы на квартальное премирование;27.0;28.4;-4.9%;;;;;;;;;;parent;
Факт;все;42018;42018;КР на персонал;Расходы социального характера;15.1;11.9;+27.3%;;;;;;;;;;parent;
Факт;все;42018;42018;КР на персонал;Выплаты при увольнении сотрудников;4.3;2.9;+47.3%;;;;;;;;;;parent;
Факт;все;42018;42018;КР на персонал;ДМС;2.7;3.1;-13.9%;;;;;;;;;;parent;
Факт;все;42018;42018;КР на персонал;Единовременные премии;3.4;2.2;+54.6%;;;;;;;;;;parent;
Факт;все;42018;42018;КР на персонал;Материальная помощь;1.4;2.4;-43.0%;;;;;;;;;;parent;
Факт;все;42018;42018;КР на персонал;Соц. программа пенсионерам;3.3;1.2;+180.0%;;;;;;;;;;parent;
Факт;все;42018;42018;Факторы изменения1;Факт ЗМ 2017;60;76.8;76.8;;;#dfdfdf;;;;;;;parent;
Факт;все;42018;42018;Факторы изменения1;Удорожание ст-ти<br>перс-ла;76.8;78.1;+1.3;;;#6EC7F7;;;;;;;parent;
Факт;все;42018;42018;Факторы изменения1;Налоги на з/п;78.1;79.4;+1.3;;;#6EC7F7;;;;;;;parent;
Факт;все;42018;42018;Факторы изменения1;Индексация;79.4;81.6;+2.2;;;#6EC7F7;;;;;;;parent;
Факт;все;42018;42018;Факторы изменения1;Расходы соц. хар-ра;81.6;82.2;+0.6;;;#6EC7F7;;;;;;;parent;
Факт;все;42018;42018;Факторы изменения1;Сокр. рез-ва на отпуск;82.2;81.7;-0.5;;;#61db96;;;;;;;parent;
Факт;все;42018;42018;Факторы изменения1;Сокр. среднесп. числ.;81.7;80.3;-1.4;;;#61db96;;;;;;;parent;
Факт;все;42018;42018;Факторы изменения1;Календ. и завыш.<br>рез-вы;80.3;84.7;+4.4;;;#6EC7F7;;;;;;;parent;
Факт;все;42018;42018;Факторы изменения1;Факт ЗМ 2018;60;84.7;84.7;;;#dfdfdf;;;;;;;parent;
Факт;все;42018;42018;Факторы изменения2;Факт ЗМ 2017;60;76.8;76.8;;;#dfdfdf;;;;;;;parent;
Факт;все;42018;42018;Факторы изменения2;ЦА;76.8;78.1;+1.3;;;#6EC7F7;;;;;;;parent;
Факт;все;42018;42018;Факторы изменения2;ПЦП;78.1;79.4;+1.3;;;#6EC7F7;;;;;;;parent;
Факт;все;42018;42018;Факторы изменения2;ТБ;79.4;81.6;+2.2;;;#6EC7F7;;;;;;;parent;
Факт;все;42018;42018;Факторы изменения2;ВСП;81.6;82.2;+0.6;;;#6EC7F7;;;;;;;parent;
Факт;все;42018;42018;Факторы изменения2;Факт ЗМ 2018;60;84.7;84.7;;;#dfdfdf;;;;;;;parent;
Факт;все;42018;42018;Динамика расходов на персонал;2016;н/д;н/д;;;;;;;;;;;parent;
Факт;все;42018;42018;Динамика расходов на персонал;2018;324;326;;;;;;;;;;;parent;
Факт;все;42018;42018;Динамика расходов на персонал;2018;85;328;;;;;;;;;;;parent;
Факт;все;42018;42018;Динамика расходов на персонал;2019;н/д;н/д;;;;;;;;;;;parent;
