pfp;block;year;quart;tile;category;fact;plan;mera;arrow1;color1;proc1;text1;arrow2;color2;proc2;text2
План;КБ;12018;12018;Численность;;20.7;;тыс. чел.;up;red;1%;к 2017г.;down;green;2.4%;к плану
План;КБ;42018;42018;Категории расходов;Персонал;37.4;-2%;;;;;;;;;
План;КБ;42018;42018;Категории расходов;Недвижимость;1.2;+535%;;;;;;;;;
План;КБ;42018;42018;Категории расходов;ИТ;0.3;-50%;;;;;;;;;
План;КБ;42018;42018;Категории расходов;Бизнес;0.4;-23%;;;;;;;;;
План;КБ;42018;42018;Категории расходов;Налоги;0.9;+42%;;;;;;;;;
План;КБ;42018;42018;Категории расходов;Прочее;6.5;+19%;;;;;;;;;
План;КБ;42018;42018;Категории расходов ДЗО;СБ Лизинг;2.0;0%;;;;;;;;;
План;КБ;42018;42018;Категории расходов ДЗО;КОРУС Конс.;1.0;+4%;;;;;;;;;
План;КБ;42018;42018;Категории расходов ДЗО;СБ Факторинг;0.8;-13%;;;;;;;;;
План;КБ;42018;42018;Категории расходов ДЗО;Стр. блокер;0.5;+4%;;;;;;;;;
План;КБ;42018;42018;Категории расходов ДЗО;Дел. среда;0.4;-13%;;;;;;;;;
План;КБ;42018;42018;Категории расходов ДЗО;Прочие;-0.4;-60%;;;;;;;;;
План;КБ;12018;12018;Категории расходов;Персонал;9.8;-2%;;;;;;;;;
План;КБ;12018;12018;Категории расходов;Недвижимость;0.9;+75%;;;;;;;;;
План;КБ;12018;12018;Категории расходов;ИТ;0.1;-70%;;;;;;;;;
План;КБ;12018;12018;Категории расходов;Бизнес;0.1;-53%;;;;;;;;;
План;КБ;12018;12018;Категории расходов;Налоги;0.1;-38%;;;;;;;;;
План;КБ;12018;12018;Категории расходов;Прочее;1.1;+10%;;;;;;;;;
План;КБ;12018;12018;Категории расходов ДЗО;СБ Лизинг;0.4;-6%;;;;;;;;;
План;КБ;12018;12018;Категории расходов ДЗО;КОРУС Конс.;0.2;-4%;;;;;;;;;
План;КБ;12018;12018;Категории расходов ДЗО;СБ Факторинг;0.2;-21%;;;;;;;;;
План;КБ;12018;12018;Категории расходов ДЗО;Дел. среда;0.1;-25%;;;;;;;;;
План;КБ;12018;12018;Категории расходов ДЗО;Стр. блокер;0.1;-34%;;;;;;;;;
План;КБ;12018;12018;Категории расходов ДЗО;Прочие;0.1;-46%;;;;;;;;;
План;КБ;12018;12018;ФОКУС;Сокращение расходов на недвижимость;-3;;;;;;focus_fact0;;;;%
План;КБ;12018;12018;ФОКУС;Экономия от PUSH-уведомлений;600;;млн. руб.;;;;focus_fact1;;;;
План;КБ;12018;12018;ФОКУС;Рост заездов ЦУНДО и сохранение парка УС;+17;;;;;;focus_fact2;;;;%
План;КБ;12018;12018;ФОКУС;Рост расходов на персонал;+5;;;;;;focus_fact3;;;;%
План;КБ;12018;12018;ФОКУС;Выполнение КПЭ по ограничению оплаты труда;2;;блока;;;;focus_fact4;;;;
План;КБ;42018;42018;ФОКУС;Сокращение RUN-расходов на ИТ и Operations ;-1.5;;млрд .руб;;;;focus_prognoz0;;;;
План;КБ;42018;42018;ФОКУС;Снижение стоимости приведнной транзакции;-16;;;;;;focus_prognoz1;;;;%
План;КБ;42018;42018;ФОКУС;Снижение расходов на недвижимость;-0.2;;млрд .руб;;;;focus_prognoz2;;;;
План;КБ;42018;42018;ФОКУС;Рост расходов на персонал;+6.3;;млрд .руб;;;;focus_prognoz3;;;;
План;КБ;42018;42018;ФОКУС;Рост расходов на ИТ;+15.7;;млрд .руб;;;;focus_prognoz4;;;;
План;КБ;42018;42018;ФОКУС;Рост расходов на маркетинг;+1.2;;млрд .руб;;;;focus_prognoz5;;;;
