pfp;block;year;quart;screen;tile;quart;block;category;fact;plan;fact_prev;mera;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;isParent;addClass
Факт;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;42017;КБ;Прямые расходы;12.2;+26.0%;н/д;млрд. руб;white;;;white;;;;;;parent;
Факт;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;42017;КБ;Бизнес-расходы;0.3;+42.0%;н/д;млрд. руб;white;;;white;;;;;;child;
Факт;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;42017;КБ;ИТ;0.3;+96.0%;н/д;млрд. руб;white;;;white;;;;;;child;
Факт;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;42017;КБ;Налоги;-0.2;-179.0%;н/д;млрд. руб;white;;;white;;;;;;child;
Факт;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;42017;КБ;Недвижимость;1.0;+73.0%;н/д;млрд. руб;white;;;white;;;;;;child;prop_click
Факт;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;42017;КБ;Персонал ;9.8;+23.0%;н/д;млрд. руб;white;;;white;;;;;;child;staff_click
Факт;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;42017;КБ;Прочее;0.9;+79.0%;н/д;млрд. руб;white;;;white;;;;;;child;
Факт;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;42017;КБ;Аллокация;н/д;н/д;н/д;млрд. руб;white;;;white;;;;;;parent;allokaciya_click
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;12018;КБ;Прямые расходы;11.1;-4.0%;+12.0%;млрд. руб;white;;;white;;;;;;parent;
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;12018;КБ;Персонал ;9.8;-4.0%;+12.0%;млрд. руб;white;;;white;;;;;;child;staff_click
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;12018;КБ;Бизнес-расходы;0.1;-47.0%;+25.0%;млрд. руб;white;;;white;;;;;;child;
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;12018;КБ;ИТ;0.1;+6.0%;+61.0%;млрд. руб;white;;;white;;;;;;child;
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;12018;КБ;Налоги;0.1;-68.0%;+1.0%;млрд. руб;white;;;white;;;;;;child;
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;12018;КБ;Недвижимость;0.9;+75.0%;+3.0%;млрд. руб;white;;;white;;;;;;child;prop_click
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;12018;КБ;Прочее;0.1;-70.0%;+57.0%;млрд. руб;white;;;white;;;;;;child;
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;12018;КБ;Аллокация;23.9;-5.0%;+10.2%;млрд. руб;white;;;white;;;;;;child;allokaciya_click
Факт;КБ;12018;12018;плитка 2 OPEX;Полные расходы;12018;КБ;Прямые расходы;0;11.1;11.1;млрд. руб;white;;;grey;;;;;;child;
Факт;КБ;12018;12018;плитка 2 OPEX;Полные расходы;12018;КБ;Услуги Бизнес блокам;11.1;12.2;1.1;млрд. руб;white;;;green;;;;;;child;
Факт;КБ;12018;12018;плитка 2 OPEX;Полные расходы;12018;КБ;Аллокация;12.2;12.0;-0.2;млрд. руб;white;;;blue;;;;;;parent;
